state,brewery_count
Alabama,45
Alaska,51
Argyll,4
Arizona,125
Arkansas,45
Aveiro,2
Beja,1
Berlin,10
Blekinge,6
Bouche du Rhône,3
Busan,9
Bute,1
California,918
Carlow,1
Chungcheongbukdo,1
Chungcheongnamdo,3
Clare,1
Coimbra,1
Colorado,448
Connecticut,94
Cork,11
Daejeon,1
Deagu,1
Delaware,28
District of Columbia,16
Donegal,4
Dublin,16
East Dunbartonshire,1
East Sussex,31
Faro,1
Florida,312
Galway,3
Gangwondo,7
Georgia,100
Gwangju,1
Gyeonggido,9
Gyeongsangbukdo,3
Gyeongsangnamdo,3
Halland,4
Hawaii,23
Idaho,67
Illinois,257
Incheon,2
Indiana,162
Iowa,91
Jejudo,3
Jeollabukdo,3
Jeollanamdo,1
Kansas,47
Kentucky,58
Kerry,3
Kildare,3
Kilkenny,3
K�rnten,3
Laois,2
Leiria,1
Limerick,2
Lisboa,5
Longford,1
Louisiana,44
Louth,1
MIssouri,1
Maine,114
Maryland,109
Massachusetts,164
Mayo,2
Meath,1
Michigan,375
Middle,2
Minnesota,183
Mississippi,17
Missouri,141
Monaghan,1
Montana,92
Nebraska,62
Nevada,51
New Hampshire,80
New Jersey,115
New Mexico,83
New York,419
Nieder�sterreich,2
North Carolina,307
North Dakota,26
Oberösterreich,2
Offaly,2
Ohio,303
Oklahoma,44
Oregon,295
Osaka,10
Pennsylvania,345
Portalegre,1
Porto,2
Rhode Island,31
Roscommon,1
Seoul,14
Singapore,33
Sligo,2
South Carolina,79
South Dakota,45
Steiermark,7
Tennessee,111
Texas,352
Tipperary,2
Utah,45
Vermont,59
Virginia,255
Washington,486
Waterford,2
West Dunbartonshire,4
West Sussex,31
West Virginia,40
Westmeath,1
Wexford,2
Wicklow,3
Wisconsin,225
Wyoming,52
dolnośląskie,34
